"longitude";"latitude";"delivery_company_id";"id"
"37.529124";"55.807946";"12";"7558"
"";"";"-1";"-1"
"37.664111";"55.722065";"10";"4777"
"";"";"0";"0"
"56.305400";"58.002400";"12";"1439"
"";"";"12";"5234"
"60.589812";"56.838238";"1";"1163"
"60.625664";"56.804668";"1";"7735"
"";"";"13";"2539"
"73.294496";"55.045001";"12";"1507"
"76.675380";"66.086683";"12";"1870"
"37.392795";"55.889453";"10";"7525"
"37.434388";"55.892344";"1";"5327"
"39.749958";"47.138425";"1";"5336"
"45.008533";"53.167871";"12";"1460"
"37.604466";"55.652603";"1";"7676"
"56.208092";"58.002018";"12";"4893"
"";"";"12";"1289"
"64.052300";"67.494600";"12";"1987"
"";"";"12";"1259"
"37.644107";"55.730703";"10";"4955"
"34.956723";"57.040022";"7";"744"
"73.385747";"61.261684";"12";"1890"
"39.478505";"50.989294";"1";"5341"
"34.312977";"53.304932";"10";"923"
"";"";"12";"4834"
"";"";"12";"1260"
"";"";"12";"4835"
"";"";"12";"1855"
"";"";"12";"1839"
"60.635033";"56.854458";"1";"7736"
"";"";"13";"2105"
"38.774315";"55.077629";"10";"4583"
"39.704799";"47.234108";"12";"5116"
"";"";"13";"2545"
"113.507578";"52.028243";"12";"5070"
"58.981825";"53.380409";"10";"1099"
"30.357463";"59.944904";"10";"1588"
"30.262545";"60.005272";"10";"5086"
"104.270320";"52.246935";"10";"4648"
"88.210159";"69.340965";"12";"1887"
"36.179270";"51.724738";"1";"6275"
"";"";"13";"7645"
"37.772595";"55.434340";"12";"5033"
"49.152762";"55.825149";"10";"985"
"43.927332";"56.274874";"10";"911"
"132.187711";"43.355793";"12";"4865"
"";"";"12";"4866"
"";"";"13";"6537"
"";"";"13";"2440"
"38.442675";"55.860327";"12";"4659"
"";"";"12";"4826"
"38.961290";"45.043145";"12";"4612"
"39.815220";"47.236544";"12";"1898"
"131.938083";"43.122885";"12";"4888"
"39.713063";"47.230388";"12";"1499"
"131.926286";"43.168161";"12";"5237"
"39.713486";"47.288059";"12";"1893"
"82.892328";"54.982542";"10";"1062"
"";"";"12";"1404"
"46.014933";"51.527001";"1";"7614"
"103.895008";"52.545989";"12";"4758"
"39.193100";"51.668400";"12";"1448"
"61.381641";"55.160782";"1";"5319"
"";"";"6";"614"
"37.412999";"55.651654";"10";"839"
"37.693097";"55.777051";"10";"4584"
"";"";"13";"2581"
"";"";"13";"2588"
"";"";"12";"1876"
"44.024519";"56.307798";"12";"1548"
"";"";"12";"1924"
"53.231963";"56.843811";"12";"1871"
"37.620836";"55.708368";"10";"834"
"";"";"13";"2597"
"";"";"13";"2600"
"48.382057";"54.316456";"10";"7491"
"47.504278";"42.978179";"12";"1565"
"49.154618";"55.794340";"12";"1466"
"";"";"12";"1922"
"37.652101";"55.762954";"10";"1192"
"61.413603";"55.139998";"12";"1567"
"52.423084";"55.748498";"12";"1494"
"135.061505";"48.473731";"12";"1868"
"65.341882";"55.443001";"12";"1884"
"60.105701";"55.059652";"12";"1929"
"86.748100";"53.878600";"12";"1902"
"";"";"12";"1853"
"";"";"12";"1244"
"";"";"12";"1849"
"84.997800";"56.475800";"12";"1899"
"127.564500";"50.255900";"12";"1894"
"36.599000";"55.113700";"12";"1560"
"37.317600";"44.896400";"12";"1435"
"64.796400";"60.129100";"12";"1900"
"135.107634";"48.451231";"12";"1895"
"86.067400";"55.361900";"12";"1450"
"28.348700";"57.813900";"12";"1458"
"41.459479";"52.717297";"1";"5825"
"41.447683";"52.724284";"12";"1519"
"57.999300";"56.190800";"12";"1441"
"45.997000";"51.513300";"12";"1442"
"43.990492";"56.291400";"12";"1505"
"37.637514";"55.781666";"10";"4638"
"131.903119";"43.133539";"12";"1907"
"";"";"12";"1792"
"39.727123";"43.593824";"1";"5160"
"65.350155";"55.438098";"12";"1879"
"60.818136";"56.501580";"1";"7737"
"49.124578";"55.792306";"12";"4614"
"37.619944";"54.190536";"12";"5076"
"92.866826";"56.033349";"10";"1110"
"37.558742";"55.432301";"1";"4789"
"39.713379";"47.288100";"10";"1174"
"38.299457";"54.004667";"10";"936"
"60.511002";"56.885643";"1";"7738"
"36.266020";"54.510974";"10";"956"
"131.889530";"43.128235";"10";"1146"
"45.416548";"50.105270";"1";"5330"
"37.715911";"55.902576";"10";"762"
"";"";"12";"1392"
"";"";"12";"5534"
"131.954380";"43.800021";"10";"1970"
"55.117316";"51.843813";"10";"1052"
"61.394631";"55.184671";"10";"7483"
"37.784615";"44.696961";"10";"1030"
"40.926543";"57.769007";"1";"7739"
"60.597182";"59.598549";"10";"1085"
"40.970965";"57.016523";"10";"1161"
"82.925753";"55.041233";"10";"1061"
"";"";"12";"4878"
"55.953517";"53.340522";"1";"7740"
"30.350271";"59.966137";"10";"858"
"82.915590";"55.049463";"10";"1064"
"43.839003";"56.232932";"10";"914"
"";"";"13";"2542"
"60.597977";"56.856717";"1";"7741"
"";"";"13";"2656"
"";"";"13";"3830"
"";"";"13";"3833"
"38.746765";"55.056192";"10";"847"
"131.907490";"43.096280";"10";"1143"
"";"";"12";"1582"
"43.847871";"56.242494";"10";"917"
"";"";"13";"3275"
"";"";"13";"2378"
"";"";"13";"2111"
"39.058530";"45.035023";"10";"1034"
"36.599703";"55.113443";"10";"957"
"30.358187";"59.954630";"10";"856"
"37.722673";"55.786146";"10";"820"
"";"";"13";"3835"
"";"";"12";"4684"
"38.976262";"45.033279";"10";"1035"
"52.442127";"55.751242";"10";"990"
"";"";"6";"613"
"";"";"13";"5196"
"";"";"13";"5209"
"";"";"13";"3849"
"";"";"12";"4934"
"37.319138";"55.825933";"10";"831"
"37.740955";"55.782550";"10";"773"
"131.954410";"43.794126";"10";"1145"
"32.043153";"54.794062";"10";"1918"
"45.012464";"53.185740";"10";"1820"
"39.737169";"47.232901";"10";"1000"
"49.156268";"55.790255";"10";"1154"
"";"";"1";"718"
"45.181119";"54.189900";"10";"1170"
"";"";"13";"3871"
"104.288233";"52.286349";"12";"1906"
"135.047540";"48.521427";"10";"1148"
"";"";"13";"3879"
"";"";"12";"1423"
"43.928402";"56.289358";"10";"912"
"43.939163";"56.323903";"10";"918"
